ID	DOI	edited	metalanguage	objectlanguage	license	superseded	pages	series	seriesnumber	creators	title
76	10.17169/langsci.b76.64	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	1	Fantinuoli, Claudio & Zanettin, Federico 	New directions in corpus-based translation studies
78	10.5281/zenodo.376415		eng	papu1250	CC-BY	False		Studies in Diversity Linguistics	11	Kluge, Angela	A grammar of Papuan Malay
80	10.5281/zenodo.1476426		eng		CC-BY	False		Studies in Caribbean Languages	2	Forbes-Barnett, Marsha	Dual aspectual forms and event structure in Caribbean English Creoles
81	10.17169/langsci.b81.78	(eds.)	eng		CC-BY	False		Language Variation	1	Côté, Marie-Hélène, Knooihuizen, Remco & Nerbonne, John 	The future of dialects: Selected papers from Methods in  Dialectology XV
82	10.17169/langsci.b82.85		eng	phal1254	CC-BY	False		Studies in Diversity Linguistics	8	Liljegren, Henrik	A grammar of Palula
83	10.5281/zenodo.376355		eng		CC-BY	False		Studies in Diversity Linguistics	9	Shimelman, Aviva	A grammar of Yauyos Quechua
85	10.5281/zenodo.2546450		eng	fern1234	CC-BY	False		Studies in Diversity Linguistics	23	Yakpo, Kofi	A grammar of Pichi
88	10.17169/langsci.b88.98		eng		CC-BY	False		Classics in Linguistics	1	Lehmann, Christian	Thoughts on grammaticalization
89	10.17169/langsci.b89.100		eng		CC-BY	False		Classics in Linguistics	2	Schütze, Carson T.	The empirical base of linguistics: Grammaticality judgments and linguistic methodology
91	10.17169/langsci.b91.109		eng		CC-BY	False		Classics in Linguistics	3	Bickerton, Derek	Roots of language
94	10.17169/langsci.b94.118	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	10	Rudin, Catherine & Gordon, Bryan James 	Advances in the study of Siouan languages and linguistics
96	10.5281/zenodo.573773		eng		CC-BY	False		Studies in Diversity Linguistics	14	Enfield, N. J.	Dependencies in language: On the causal ontology of linguistic systems
97	10.17169/langsci.b97.143		eng		CC-BY	False		Classics in Linguistics	4	von der Gabelentz, Georg, McElvenny, James & Ringmacher, Manfred	Die Sprachwissenschaft: Ihre Aufgaben, Methoden und bisherigen Ergebnisse
98	10.5281/zenodo.344792		eng	ikkk1242	CC-BY	False		African Language Grammars and Dictionaries	1	Schrock, Terrill	The Ik language: Dictionary and grammar sketch
101	10.17169/langsci.b101.186		deu		CC-BY	False		Textbooks in Language Sciences	2	Schäfer, Roland	Einführung in die grammatische Beschreibung des Deutschen: Zweite, überarbeitete Auflage
102	10.5281/zenodo.1019701	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	4	Czulo, Oliver & Hansen-Schirra, Silvia 	Crossroads between contrastive linguistics, translation studies and machine translation: TC3-II
103	10.5281/zenodo.283376	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	3	Hansen-Schirra, Silvia, Neumann, Stella & Čulo, Oliver 	Annotation, exploitation and evaluation of parallel corpora: TC3 I
106	10.5281/zenodo.1291947	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	5	Rehm, Georg, Stein, Daniel, Sasaki, Felix & Witt, Andreas 	Language technologies for a multilingual Europe
107	10.5281/zenodo.814452	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	6	Menzel, Katrin, Lapshinova-Koltunski, Ekaterina & Kunz, Kerstin 	New perspectives on cohesion and coherence: Implications for translation
108	10.17169/langsci.b108.230	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	2	Hansen-Schirra, Silvia & Grucza, Sambor 	Eyetracking and Applied Linguistics
109	10.5281/zenodo.439004		eng	yong1288	CC-BY	False		Studies in Diversity Linguistics	13	Michaud, Alexis	Tone in Yongning Na: Lexical tones and morphotonology
111	10.5281/zenodo.818365		eng		CC-BY	False		Topics at the Grammar-Discourse Interface	1	Song, Sanghoun	Modeling  information structure in a cross-linguistic perspective
115	10.5281/zenodo.1115573	(eds.)	eng		CC-BY	False		Open Generative Syntax	2	Sheehan, Michelle & Bailey, Laura R. 	Order and structure in syntax II: Subjecthood and argument structure
116	10.17169/langsci.b116.259		deu		CC-BY	False		Language Variation	2	Schäfer, Lea	Sprachliche Imitation: Jiddisch in der deutschsprachigen Literatur (18.-20. Jahrhundert)
118	10.5281/zenodo.824016		eng	molo1266	CC-BY	False		African Language Grammars and Dictionaries	3	Friesen, Dianne	A grammar of Moloko
120	10.5281/zenodo.1219141	(eds.)	eng		CC-BY	False		Contemporary African Linguistics	3	Kandybowicz, Jason, Major, Travis & Torrence, Harold 	African linguistics on the prairie: Selected papers from the 45th Annual Conference on African Linguistics
121	10.17169/langsci.b121.280	(eds.)	eng		CC-BY	False		Contemporary African Linguistics	1	Payne, Doris L., Pacchiarotti, Sara & Bosire, Mokaya 	Diversity in African languages: Selected papers from the 46th Annual Conference on African Linguistics
123	10.5281/zenodo.1182527		eng		CC-BY	False		Studies in Diversity Linguistics	15	Gutman, Ariel	Attributive constructions in North-Eastern Neo-Aramaic
124	10.5281/zenodo.235525		eng	rapa1244	CC-BY	False		Studies in Diversity Linguistics	12	Kieviet, Paulus	A grammar of Rapa Nui
132	10.5281/zenodo.1089335	(eds.)	eng		CC-BY	False		Translation and Multilingual Natural Language Processing	7	Hansen-Schirra, Silvia, Czulo, Oliver & Hofmann, Sascha 	Empirical modelling of translation and interpreting
134	10.5281/zenodo.1067783		deu		CC-BY	False		Morphological Investigations	2	Baechler, Raffaela	Absolute Komplexität in der Nominalflexion: Althochdeutsch, Mittelhochdeutsch, Alemannisch und deutsche Standardsprache
137	10.5281/zenodo.814472		eng		CC-BY	False		Studies in Laboratory Phonology	3	Roettger, Timo B.	Tonal placement in Tashlhiyt: How an intonation system accommodates to adverse phonological environments
141	10.5281/zenodo.926408		eng		CC-BY	True		Contemporary African Linguistics	2	Persohn, Bastian	The Verb in Nyakyusa: A focus on tense, aspect, and modality
142	10.5281/zenodo.5524633		eng		CC-BY	False		Conceptual Foundations of Language Science	6	Boeckx, Cedric	Reflections on language evolution: From minimalism to pluralism
143	10.5281/zenodo.1000504		fra		CC-BY	False		Textbooks in Language Sciences	4	Roussarie, Laurent	Sémantique formelle: Volume 1 : Introduction à la grammaire de Montague
144	10.5281/zenodo.1164112		eng		CC-BY	True		Textbooks in Language Sciences	5	Kroeger, Paul	Analyzing meaning: An introduction to semantics and pragmatics
148	10.5281/zenodo.3735822		eng		CC-BY-SA	False		Textbooks in Language Sciences	7	Stefanowitsch, Anatol	Corpus linguistics: A guide to the methodology
149	10.5281/zenodo.1145680		eng		CC-BY-NC-ND	True		Classics in Linguistics	5	Höhle, Tilmann N., Müller, Stefan, Richter, Frank & Reis, Marga	Beiträge zur deutschen Grammatik: Gesammelte Schriften von Tilman N. Höhle
150	10.5281/zenodo.4446717		eng	russ1263	CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	7	Zinova, Yulia	Russian verbal prefixation: A frame semantic analysis
151	10.5281/zenodo.495467	(eds.)	eng		CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	3	Bowern, Claire, Horn, Laurence & Zanuttini, Raffaella 	On looking into words (and beyond): Structures, Relations, Analyses
152	10.5281/zenodo.823224	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	16	Bisang, Walter & Malchukov, Andrej 	Unity and diversity in grammaticalization scenarios
153	10.5281/zenodo.1134595		eng		CC-BY	False		Morphological Investigations	3	Schäfer, Martin	The semantic transparency of English compound nouns
154	10.5281/zenodo.1188764		eng		CC-BY	False		Studies in Laboratory Phonology	4	Mücke, Doris	Dynamische Modellierung von Artikulation und prosodischer Struktur: Eine Einführung in die Artikulatorische Phonologie
155	10.5281/zenodo.1346245		deu		CC-BY	False		Studies in Laboratory Phonology	5	Bergmann, Pia	Morphologisch komplexe Wörter: Prosodische Struktur und phonetische Realisierung
